hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset retweets_hashtag_freqs.tsv
climateleadersdontbuildhighways	302984766	5.627272	.000619	.000110	2	3227	2	18162
climatereport	2886667320	1.877272	.001239	.000660	4	3227	12	18162
closedbutstillcaring	578601744	5.618181	.000309	.000055	1	3227	1	18162
closeschoolsandcolleges	45379403	1.250505	.000619	.000495	2	3227	9	18162
closetheschools	45379403	.562216	.000619	.001101	2	3227	20	18162
closethesky	1308267623327518725	.295411	.000309	.001046	1	3227	19	18162
closeuaskynow	578601744	.936363	.000309	.000330	1	3227	6	18162
clownconvoy2	302984766	5.618181	.000309	.000055	1	3227	1	18162
clownvoy	302984766	.802597	.000309	.000385	1	3227	7	18162
clrrrrrricalmusic	45379403	5.618181	.000309	.000055	1	3227	1	18162
clrrrrrriclike	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
cmoh	302984766	5.618181	.000309	.000055	1	3227	1	18162
cnn	578601744	.295411	.000309	.001046	1	3227	19	18162
cnnnye	614600545	5.618181	.000309	.000055	1	3227	1	18162
coachella	614600545	.432167	.000309	.000715	1	3227	13	18162
coastwiththemost	29447428	5.618181	.000309	.000055	1	3227	1	18162
cockleburs	940778288871542786	5.618181	.000309	.000055	1	3227	1	18162
coda	1308267623327518725	2.809090	.000309	.000110	1	3227	2	18162
coffee	29447428	3.751515	.000619	.000165	2	3227	3	18162
cognitivedissonance	1387010761994682371	2.809090	.000309	.000110	1	3227	2	18162
colbyville	1308267623327518725	5.618181	.000309	.000055	1	3227	1	18162
colleyville	1308267623327518725	1.877272	.001239	.000660	4	3227	12	18162
colleyvillesynagogue	1921951394	5.627272	.000619	.000110	2	3227	2	18162
colorectalcancer	1308267623327518725	5.618181	.000309	.000055	1	3227	1	18162
colston4	45379403	1.404545	.000309	.000220	1	3227	4	18162
colts	614600545	5.618181	.000309	.000055	1	3227	1	18162
columbia	45379403	1.123636	.000309	.000275	1	3227	5	18162
comedy	614600545	1.404545	.000309	.000220	1	3227	4	18162
commitment	302984766	5.618181	.000309	.000055	1	3227	1	18162
communist	940778288871542786	2.809090	.000309	.000110	1	3227	2	18162
